gloss_sequence,vietnamese_sentence
chu_nhat nguoi_khiem_thinh bi ho,Chủ nhật người khiếm thính bị ho.
ban muon giup_do,Bạn muốn giúp đỡ.
hom_nay me se di phong_kham,Hôm nay mẹ sẽ đi phòng khám.
thu_ba ong dang an,Thứ ba ông đang ăn.
buoi_sang chung_toi bi chay_mau,Buổi sáng chúng tôi bị chảy máu.
me muon sua o truong,Mẹ muốn sữa ở trường.
thu_ba bo bi dau_lung,Thứ ba bố bị đau lưng.
ngay chung_toi dang rua_tay,Ngày chúng tôi đang rửa tay.
thang co an,Tháng cô ăn.
anh muon chao o cho,Anh muốn cháo ở chợ.
ba khong nau_an,Bà không nấu ăn.
mua_he toi dang choi,Mùa hè tôi đang chơi.
thu_tu benh_nhan dang di_cho,Thứ tư bệnh nhân đang đi chợ.
em thich giay,Em thích giấy.
thay_giao o giuong,Thầy giáo ở giường.
chi khong muon nuoc,Chị không muốn nước.
anh muon hai bun,Anh muốn hai bún.
ngay_mai chi se di cong_ty,Ngày mai chị sẽ đi công ty.
mua_dong em xem,Mùa đông em xem.
anh can bon but,Anh cần bốn bút.
em thich di_nha_ve_sinh,Em thích đi nhà vệ sinh.
buoi_trua me bi dau,Buổi trưa mẹ bị đau.
anh da di_hoc,Anh đã đi học.
co can banh_mi khong,Cô có cần bánh mì không?
thu_ba chung_toi dang tap_the_duc,Thứ ba chúng tôi đang tập thể dục.
chi thich thit,Chị thích thịt.
em muon di tau_hoa,Em muốn đi tàu hỏa.
bay_gio toi bi ho,Bây giờ tôi bị ho.
hom_qua me bi kho_tho,Hôm qua mẹ bị khó thở.
buoi_toi chi dang chay,Buổi tối chị đang chạy.
me muon pho o nha_thuoc,Mẹ muốn phở ở nhà thuốc.
mua_dong me dang lam_bai_tap,Mùa đông mẹ đang làm bài tập.
chi se tam,Chị sẽ tắm.
buoi_sang chi nghe,Buổi sáng chị nghe.
toi_nay ong dang rua_tay,Tối nay ông đang rửa tay.
bo muon mua nuoc_cam,Bố muốn mua nước cam.
ong khong_dong_y,Ông không đồng ý.
buoi_toi co_giao bi dau_tay,Buổi tối cô giáo bị đau tay.
ong bi dau_chan nen can thuoc,Ông bị đau chân nên cần thuốc.
toi_nay ban dang tam,Tối nay bạn đang tắm.
thang co_giao bi dau_lung,Tháng cô giáo bị đau lưng.
thang co_giao bi ho,Tháng cô giáo bị ho.
buoi_sang co dang di_bo,Buổi sáng cô đang đi bộ.
mua_he anh hoc_bai,Mùa hè anh học bài.
me o giuong,Mẹ ở giường.
bo muon com o phong_kham,Bố muốn cơm ở phòng khám.
anh can bao_nhieu ghe,Anh cần bao nhiêu ghế?
chi bi sot can goi_bac_si,"Chị bị sốt, cần gọi bác sĩ."
con_trai can dia_chi khong,Con trai có cần địa chỉ không?
ong thich ban_do,Ông thích bản đồ.
thu_tu ba bi bi_thuong,Thứ tư bà bị bị thương.
anh can chin but,Anh cần chín bút.
hom_nay con_gai dang an,Hôm nay con gái đang ăn.
toi_nay ong hoc_bai,Tối nay ông học bài.
ngay_mai toi se di nha,Ngày mai tôi sẽ đi nhà.
mua_dong nguoi_khiem_thinh bi ho,Mùa đông người khiếm thính bị ho.
thu_tu con_gai dang doc_sach,Thứ tư con gái đang đọc sách.
co thich pho,Cô thích phở.
cua de,Cửa dễ.
bo muon nam banh_mi,Bố muốn năm bánh mì.
ong can bon tivi,Ông cần bốn ti vi.
em muon tra o nha_thuoc,Em muốn trà ở nhà thuốc.
ba den phong_ngu,Bà đến phòng ngủ.
toi muon chin tivi,Tôi muốn chín ti vi.
thay_giao muon keo,Thầy giáo muốn kẹo.
ban can nam pho,Bạn cần năm phở.
anh can giup_do,Anh cần giúp đỡ.
bay_gio em dang nghe,Bây giờ em đang nghe.
thu_tu bo xem,Thứ tư bố xem.
em tim ban,Em tìm bàn.
thu_hai con_gai bi dau_lung,Thứ hai con gái bị đau lưng.
thu_nam thay_giao dang hoc_bai,Thứ năm thầy giáo đang học bài.
chu_nhat chi dang lam_viec,Chủ nhật chị đang làm việc.
anh muon mu,Anh muốn mũ.
thu_tu ong doc_sach,Thứ tư ông đọc sách.
toi can o khong,Tôi có cần ô không?
thu_sau co an,Thứ sáu cô ăn.
thu_hai co_giao xem,Thứ hai cô giáo xem.
ban mat ao,Bạn mất áo.
thu_bay anh lam_bai_tap,Thứ bảy anh làm bài tập.
me can ba ban_phim,Mẹ cần ba bàn phím.
chi di nha_bep,Chị đi nhà bếp.
anh muon banh_mi o phong_kham,Anh muốn bánh mì ở phòng khám.
bo la sinh_vien,Bố là sinh viên.
buoi_sang anh bi dau,Buổi sáng anh bị đau.
hom_qua co bi met,Hôm qua cô bị mệt.
ong muon muoi com,Ông muốn mười cơm.
toi_nay nguoi_khiem_thinh dang noi,Tối nay người khiếm thính đang nói.
buoi_trua ban dang viet,Buổi trưa bạn đang viết.
me can bon com,Mẹ cần bốn cơm.
thu_sau nguoi_khiem_thinh bi cam_lanh,Thứ sáu người khiếm thính bị cảm lạnh.
thu_tu chi ngu,Thứ tư chị ngủ.
mua_he chi nghe,Mùa hè chị nghe.
bo muon mua rau,Bố muốn mua rau.
mua_dong anh bi chong_mat,Mùa đông anh bị chóng mặt.
em can nam ban_phim,Em cần năm bàn phím.
ngay_mai co dang an,Ngày mai cô đang ăn.
anh can chin nuoc,Anh cần chín nước.
co_giao can banh_mi khong,Cô giáo có cần bánh mì không?
toi muon di duong,Tôi muốn đi đường.
co thich khau_trang,Cô thích khẩu trang.
chu_nhat con_gai dang di_hoc,Chủ nhật con gái đang đi học.
buoi_chieu anh bi ho,Buổi chiều anh bị ho.
thang thay_giao dang noi,Tháng thầy giáo đang nói.
anh bi chong_mat nen can goi_y_ta,Anh bị chóng mặt nên cần gọi y tá.
nguoi_khiem_thinh muon but,Người khiếm thính muốn bút.
buoi_toi toi bi buon_non,Buổi tối tôi bị buồn nôn.
thay_giao muon di ben_xe,Thầy giáo muốn đi bến xe.
bo muon thuc_an,Bố muốn thức ăn.
ban bi ho nen can di_nha_ve_sinh,Bạn bị ho nên cần đi nhà vệ sinh.
me can den,Mẹ cần đèn.
me mat ban_phim,Mẹ mất bàn phím.
em can dia_chi,Em cần địa chỉ.
toi can cua khong,Tôi có cần cửa không?
thu_ba ong bi dau_tay,Thứ ba ông bị đau tay.
ngay anh bi dau_tay,Ngày anh bị đau tay.
thu_nam co bi dau_hong,Thứ năm cô bị đau họng.
toi dang doc_sach,Tôi đang đọc sách.
thu_tu anh dang xem,Thứ tư anh đang xem.
ban muon mua ba_lo,Bạn muốn mua ba lô.
hom_nay co_giao bi ho,Hôm nay cô giáo bị ho.
thu_ba anh ngu,Thứ ba anh ngủ.
me khong_thich chao,Mẹ không thích cháo.
thu_sau anh xem,Thứ sáu anh xem.
chu_nhat chi xem,Chủ nhật chị xem.
anh la bac_si,Anh là bác sĩ.
anh can hai_muoi nuoc_cam,Anh cần hai mươi nước cam.
thu_sau ba dang uong,Thứ sáu bà đang uống.
em can muoi vo,Em cần mười vở.
thu_bay benh_nhan dang rua_tay,Thứ bảy bệnh nhân đang rửa tay.
co khong muon khau_trang,Cô không muốn khẩu trang.
bo mat but,Bố mất bút.
bo bi cam_lanh,Bố bị cảm lạnh.
mua_dong thay_giao dang hoc_bai,Mùa đông thầy giáo đang học bài.
mua_dong benh_nhan bi met,Mùa đông bệnh nhân bị mệt.
toi_nay me dang nau_an,Tối nay mẹ đang nấu ăn.
thu_hai nguoi_khiem_thinh bi sot,Thứ hai người khiếm thính bị sốt.
nam em dang viet,Năm em đang viết.
me can ba but,Mẹ cần ba bút.
hom_qua ban bi dau_chan,Hôm qua bạn bị đau chân.
buoi_trua me lam_bai_tap,Buổi trưa mẹ làm bài tập.
mua_dong bo xem,Mùa đông bố xem.
ghe tot,Ghế tốt.
ngay ong bi chong_mat,Ngày ông bị chóng mặt.
buoi_toi toi bi ho,Buổi tối tôi bị ho.
buoi_trua ban bi dau_lung,Buổi trưa bạn bị đau lưng.
ban can mot_tram but,Bạn cần một trăm bút.
bo can muoi den,Bố cần mười đèn.
chi muon bun,Chị muốn bún.
con_gai muon com,Con gái muốn cơm.
buoi_toi em dang viet,Buổi tối em đang viết.
thu_nam toi dang tam,Thứ năm tôi đang tắm.
benh_nhan thich keo,Bệnh nhân thích kẹo.
co khong_thich banh,Cô không thích bánh.
ban co tivi khong,Bạn có ti vi không?
chi bi chong_mat nen can di_nha_ve_sinh,Chị bị chóng mặt nên cần đi nhà vệ sinh.
benh_nhan can cua,Bệnh nhân cần cửa.
hom_qua em se di cho,Hôm qua em sẽ đi chợ.
hom_qua benh_nhan dang di_cho,Hôm qua bệnh nhân đang đi chợ.
chung_toi muon goi_y_ta,Chúng tôi muốn gọi y tá.
hom_nay me se di lop_hoc,Hôm nay mẹ sẽ đi lớp học.
hom_nay ba dang doc_sach,Hôm nay bà đang đọc sách.
thu_nam con_gai dang uong,Thứ năm con gái đang uống.
thu_tu me nghi,Thứ tư mẹ nghỉ.
hom_nay ong dang an,Hôm nay ông đang ăn.
em can but,Em cần bút.
con_gai thich dong_ho,Con gái thích đồng hồ.
anh can muoi com,Anh cần mười cơm.
anh se hoc_bai,Anh sẽ học bài.
thu_hai thay_giao bi di_ung,Thứ hai thầy giáo bị dị ứng.
toi can di_nha_ve_sinh khong,Tôi có cần đi nhà vệ sinh không?
thu_ba co_giao bi dau_chan,Thứ ba cô giáo bị đau chân.
thu_hai em doc_sach,Thứ hai em đọc sách.
co muon di_nha_ve_sinh,Cô muốn đi nhà vệ sinh.
thu_nam em dang nghi,Thứ năm em đang nghỉ.
em mat ao,Em mất áo.
toi_nay con_trai bi cam_lanh,Tối nay con trai bị cảm lạnh.
ban bao_nhieu_tien,Bàn bao nhiêu tiền?
thu_nam ong xem,Thứ năm ông xem.
ngay_mai bo dang noi,Ngày mai bố đang nói.
me cam_thay so,Mẹ cảm thấy sợ.
ong can ba_muoi but,Ông cần ba mươi bút.
toi muon ba nuoc,Tôi muốn ba nước.
me muon tivi,Mẹ muốn ti vi.
hom_nay toi bi dau_bung,Hôm nay tôi bị đau bụng.
nam anh bi chong_mat,Năm anh bị chóng mặt.
co den ben_xe,Cô đến bến xe.
ngay ban dang nghi,Ngày bạn đang nghỉ.
ngay_mai co_giao lam_bai_tap,Ngày mai cô giáo làm bài tập.
nam chi bi dau_dau,Năm chị bị đau đầu.
bo muon com o nha,Bố muốn cơm ở nhà.
ba_lo yen_tinh,Ba lô yên tĩnh.
vo de,Vở dễ.
toi cam_thay bao,Tôi cảm thấy bão.
chu_nhat ban bi met,Chủ nhật bạn bị mệt.
com o_dau,Cơm ở đâu?
anh se choi,Anh sẽ chơi.
bay_gio ban doc_sach,Bây giờ bạn đọc sách.
toi_nay toi lam_viec,Tối nay tôi làm việc.
me muon ba dien_thoai,Mẹ muốn ba điện thoại.
buoi_chieu em bi cam_lanh,Buổi chiều em bị cảm lạnh.
chu_nhat nguoi_khiem_thinh dang mua_sam,Chủ nhật người khiếm thính đang mua sắm.
hom_qua me hoc_bai,Hôm qua mẹ học bài.
me mat quan,Mẹ mất quần.
thang ba dang hoc_bai,Tháng bà đang học bài.
thang co_giao doc_sach,Tháng cô giáo đọc sách.
thu_tu toi nghi,Thứ tư tôi nghỉ.
ngay anh dang tam,Ngày anh đang tắm.
em thich kinh_lup,Em thích kính lúp.
co muon sac_pin,Cô muốn sạc pin.
me bi met,Mẹ bị mệt.
me muon nam sua,Mẹ muốn năm sữa.
dien_thoai nhe,Điện thoại nhẹ.
mua_he co bi dau,Mùa hè cô bị đau.
nam me bi di_ung,Năm mẹ bị dị ứng.
em can di_nha_ve_sinh,Em cần đi nhà vệ sinh.
toi_nay ong dang choi,Tối nay ông đang chơi.
thu_hai ong di_hoc,Thứ hai ông đi học.
mua_dong ong dang lam_bai_tap,Mùa đông ông đang làm bài tập.
me muon sau vo,Mẹ muốn sáu vở.
buoi_sang anh noi,Buổi sáng anh nói.
hom_qua ba bi chay_mau,Hôm qua bà bị chảy máu.
thu_ba co_giao ngu,Thứ ba cô giáo ngủ.
bay_gio ong dang ngu,Bây giờ ông đang ngủ.
buoi_chieu co_giao dang choi,Buổi chiều cô giáo đang chơi.
ong can keo,Ông cần kẹo.
buoi_toi ong se di truong,Buổi tối ông sẽ đi trường.
thu_nam chi noi,Thứ năm chị nói.
chi se di_bo,Chị sẽ đi bộ.
buoi_toi con_trai dang rua_tay,Buổi tối con trai đang rửa tay.
hom_qua bo dang rua_tay,Hôm qua bố đang rửa tay.
mua_he toi bi dau_dau,Mùa hè tôi bị đau đầu.
buoi_sang bo dang an,Buổi sáng bố đang ăn.
buoi_chieu me viet,Buổi chiều mẹ viết.
lam_on lay may_tinh giup toi,Làm ơn lấy máy tính giúp tôi.
co muon di ban,Cô muốn đi bàn.
hom_qua thay_giao bi bi_thuong,Hôm qua thầy giáo bị bị thương.
chi da nau_an,Chị đã nấu ăn.
bay_gio co_giao bi kho_tho,Bây giờ cô giáo bị khó thở.
toi muon den san_bay,Tôi muốn đến sân bay.
toi_nay ba dang tam,Tối nay bà đang tắm.
thu_nam ba bi dau_tay,Thứ năm bà bị đau tay.
mua_he me xem,Mùa hè mẹ xem.
buoi_sang anh nghe,Buổi sáng anh nghe.
hom_qua me lam_viec,Hôm qua mẹ làm việc.
y_ta dang lam_viec,Y tá đang làm việc.
thang thay_giao noi,Tháng thầy giáo nói.
thu_ba co noi,Thứ ba cô nói.
em bi dau_dau nen can goi_bac_si,Em bị đau đầu nên cần gọi bác sĩ.
chu_nhat ba dang tap_the_duc,Chủ nhật bà đang tập thể dục.
chu_nhat anh bi chong_mat,Chủ nhật anh bị chóng mặt.
me can mot_tram chao,Mẹ cần một trăm cháo.
me bi dau_dau nen can giup_do,Mẹ bị đau đầu nên cần giúp đỡ.
me muon di xe_may,Mẹ muốn đi xe máy.
mua_he co_giao dang mua_sam,Mùa hè cô giáo đang mua sắm.
ong muon di giuong,Ông muốn đi giường.
co_giao thich ban_phim,Cô giáo thích bàn phím.
ong bi buon_non,Ông bị buồn nôn.
chu_nhat anh dang viet,Chủ nhật anh đang viết.
chi muon com o truong,Chị muốn cơm ở trường.
me muon bun o lop_hoc,Mẹ muốn bún ở lớp học.
ong khong xem,Ông không xem.
anh can mot_tram com,Anh cần một trăm cơm.
em bi met can goi_bac_si,"Em bị mệt, cần gọi bác sĩ."
toi_nay co viet,Tối nay cô viết.
buoi_chieu benh_nhan dang giat_do,Buổi chiều bệnh nhân đang giặt đồ.
mua_dong ban nghe,Mùa đông bạn nghe.
thu_bay thay_giao bi di_ung,Thứ bảy thầy giáo bị dị ứng.
bo muon hai banh_mi,Bố muốn hai bánh mì.
thay_giao o lop_hoc,Thầy giáo ở lớp học.
nam em dang uong,Năm em đang uống.
hom_nay ban bi dau_hong,Hôm nay bạn bị đau họng.
buoi_sang ba dang nghe,Buổi sáng bà đang nghe.
bo den cho,Bố đến chợ.
vo mau_nau,Vở màu nâu.
toi_nay thay_giao dang choi,Tối nay thầy giáo đang chơi.
mua_he co dang nghe,Mùa hè cô đang nghe.
mua_he em viet,Mùa hè em viết.
buoi_trua co dang doc_sach,Buổi trưa cô đang đọc sách.
bo can banh_mi khong,Bố có cần bánh mì không?
thu_tu chung_toi dang mua_sam,Thứ tư chúng tôi đang mua sắm.
chi can kinh_lup khong,Chị có cần kính lúp không?
mua_dong bo dang an,Mùa đông bố đang ăn.
ngay_mai bo lam_bai_tap,Ngày mai bố làm bài tập.
thang thay_giao bi dau_lung,Tháng thầy giáo bị đau lưng.
co can dia_chi khong,Cô có cần địa chỉ không?
hom_qua ong xem,Hôm qua ông xem.
thu_sau thay_giao dang chay,Thứ sáu thầy giáo đang chạy.
buoi_toi benh_nhan dang hoc_bai,Buổi tối bệnh nhân đang học bài.
me muon sau pho,Mẹ muốn sáu phở.
ngay ong dang ngu,Ngày ông đang ngủ.
me muon bon may_tinh,Mẹ muốn bốn máy tính.
ban thich nguoi_phien_dich,Bạn thích người phiên dịch.
em khong_thich rau,Em không thích rau.
buoi_toi con_trai bi met,Buổi tối con trai bị mệt.
ban can mot_tram dien_thoai,Bạn cần một trăm điện thoại.
chi dang rua_tay,Chị đang rửa tay.
nguoi_than can dien_thoai,Người thân cần điện thoại.
ba o nha_ve_sinh,Bà ở nhà vệ sinh.
anh can ghe,Anh cần ghế.
co den san_bay,Cô đến sân bay.
co_giao thich quan,Cô giáo thích quần.
chu_nhat anh dang nghe,Chủ nhật anh đang nghe.
thang anh bi buon_non,Tháng anh bị buồn nôn.
mua_dong chi dang noi,Mùa đông chị đang nói.
buoi_toi am_uot khong,Buổi tối có ẩm ướt không?
mua_dong con_gai dang di_bo,Mùa đông con gái đang đi bộ.
thu_hai ba dang rua_tay,Thứ hai bà đang rửa tay.
buoi_toi me bi dau_chan,Buổi tối mẹ bị đau chân.
buoi_chieu co_giao bi dau,Buổi chiều cô giáo bị đau.
mua_dong co_giao bi dau_tay,Mùa đông cô giáo bị đau tay.
bay_gio chi se di nha,Bây giờ chị sẽ đi nhà.
ong can ba pho,Ông cần ba phở.
thu_nam con_trai dang noi,Thứ năm con trai đang nói.
ngay_mai ban se di sieu_thi,Ngày mai bạn sẽ đi siêu thị.
bo bi dau_hong nen can nghi_ngoi,Bố bị đau họng nên cần nghỉ ngơi.
toi muon muoi bun,Tôi muốn mười bún.
thu_bay ba bi chong_mat,Thứ bảy bà bị chóng mặt.
toi_nay anh dang uong,Tối nay anh đang uống.
con_trai muon dia_chi,Con trai muốn địa chỉ.
toi bi kho_tho nen can goi_bac_si,Tôi bị khó thở nên cần gọi bác sĩ.
buoi_toi ong dang lam_bai_tap,Buổi tối ông đang làm bài tập.
con_trai can banh_mi khong,Con trai có cần bánh mì không?
anh bi bi_thuong can goi_bac_si,"Anh bị bị thương, cần gọi bác sĩ."
ong tim ba_lo,Ông tìm ba lô.
toi_nay ba nghi,Tối nay bà nghỉ.
ban can bon ban_phim,Bạn cần bốn bàn phím.
chi muon thit o nha_thuoc,Chị muốn thịt ở nhà thuốc.
thay_giao muon trai_cay,Thầy giáo muốn trái cây.
bo thich mu,Bố thích mũ.
thang chung_toi bi dau_bung,Tháng chúng tôi bị đau bụng.
anh se di_hoc,Anh sẽ đi học.
chi can tam pho,Chị cần tám phở.
ong thich bun,Ông thích bún.
bay_gio benh_nhan dang nghi,Bây giờ bệnh nhân đang nghỉ.
toi_nay bo bi cam_lanh,Tối nay bố bị cảm lạnh.
thu_hai con_trai dang an,Thứ hai con trai đang ăn.
chi khong muon giay,Chị không muốn giấy.
em muon bay nuoc_cam,Em muốn bảy nước cam.
con_gai den phong_ngu,Con gái đến phòng ngủ.
em cam_thay dau_dau,Em cảm thấy đau đầu.
ba muon o,Bà muốn ô.
bay_gio em dang viet,Bây giờ em đang viết.
chung_toi bi cam_lanh nen can goi_bac_si,Chúng tôi bị cảm lạnh nên cần gọi bác sĩ.
chu_nhat ong dang tap_the_duc,Chủ nhật ông đang tập thể dục.
buoi_sang me dang lam_viec,Buổi sáng mẹ đang làm việc.
buoi_trua ban dang choi,Buổi trưa bạn đang chơi.
nam bo lam_viec,Năm bố làm việc.
em bi dau_hong nen can thuoc,Em bị đau họng nên cần thuốc.
toi_nay toi dang tap_the_duc,Tối nay tôi đang tập thể dục.
thu_ba con_gai dang giat_do,Thứ ba con gái đang giặt đồ.
thu_sau chi dang di_hoc,Thứ sáu chị đang đi học.
thu_nam thay_giao dang choi,Thứ năm thầy giáo đang chơi.
hom_qua ban dang tam,Hôm qua bạn đang tắm.
thang co_giao dang xem,Tháng cô giáo đang xem.
ngay em lam_viec,Ngày em làm việc.
em se uong,Em sẽ uống.
chi muon ba chao,Chị muốn ba cháo.
ong bi chay_mau can goi_bac_si,"Ông bị chảy máu, cần gọi bác sĩ."
thu_sau ban dang an,Thứ sáu bạn đang ăn.
noi_com_dien sach,Nồi cơm điện sạch.
tivi o_dau,Ti vi ở đâu?
thu_sau me dang viet,Thứ sáu mẹ đang viết.
buoi_chieu ong dang noi,Buổi chiều ông đang nói.
thu_hai ba dang tam,Thứ hai bà đang tắm.
toi_nay thay_giao bi dau,Tối nay thầy giáo bị đau.
ban co goi_bac_si khong,Bạn có gọi bác sĩ không?
bo can sau ban_phim,Bố cần sáu bàn phím.
buoi_trua em dang uong,Buổi trưa em đang uống.
mua_he co_giao dang tam,Mùa hè cô giáo đang tắm.
ong muon thit o benh_vien,Ông muốn thịt ở bệnh viện.
buoi_chieu benh_nhan dang an,Buổi chiều bệnh nhân đang ăn.
co se mua_sam,Cô sẽ mua sắm.
buoi_sang toi dang hoc_bai,Buổi sáng tôi đang học bài.
toi den san_bay,Tôi đến sân bay.
gia_dinh dang noi,Gia đình đang nói.
chi can mot_tram ban_phim,Chị cần một trăm bàn phím.
mua_dong chung_toi dang giat_do,Mùa đông chúng tôi đang giặt đồ.
thu_bay chung_toi dang uong,Thứ bảy chúng tôi đang uống.
me den ben_xe,Mẹ đến bến xe.
me can ba_muoi tivi,Mẹ cần ba mươi ti vi.
thu_tu chi dang nghe,Thứ tư chị đang nghe.
